Word               Count
========================
a                     19
about                  4
across                 2
actually               1
afraid                 1
after                  3
afterwards             1
again                  2
air                    1
alice                 11
all                    2
aloud                  1
an                     1
and                   24
another                1
answer                 1
anything               2
are                    1
as                     8
at                     6
bank                   1
bat                    2
bats                   4
be                     4
before                 2
began                  2
beginning              1
begun                  1
book                   3
brave                  1
burning                1
but                    8
by                     3
came                   1
cat                    1
catch                  1
cats                   4
centre                 1
chain                  1
close                  1
come                   1
coming                 1
considering            2
conversation           1
conversations          1
could                  1
couldn                 1
cupboards              2
curiosity              1
daisies                1
daisy                  1
dark                   1
day                    1
dear                   3
deep                   2
did                    3
didn                   1
dinah                  5
dipped                 1
disappointment         1
distance—but           1
do                     6
down                  17
dozing                 1
dream                  1
dreamy                 1
drop                   1
dry                    1
earnestly              1
earth                  1
eat                    5
either                 4
else                   1
empty                  1
end                    1
even                   1
ever                   1
eyes                   1
fall                   3
fallen                 1
falling                1
fear                   1
feel                   1
feet                   1
fell                   3
felt                   1
field                  1
filled                 1
first                  1
flashed                1
for                    8
fortunately            1
found                  1
four                   1
from                   1
get                    3
getting                2
going                  1
good                   2
got                    1
grand                  1
great                  1
had                    8
hand                   2
happen                 1
have                   1
having                 1
heap                   1
hear                   1
hedge                  1
her                   15
here                   3
herself                4
hole                   2
home                   1
hope                   1
hot                    1
house                  1
how                    3
hung                   1
hurried                1
i                     15
idea                   1
if                     1
in                    11
into                   2
is                     1
it                    22
its                    1
itself                 1
jar                    2
just                   2
killing                1
know                   1
knowledge              1
labelled               1
large                  1
late                   1
latitude               2
learnt                 1
leaves                 1
lessons                1
let                    1
like                   3
likely                 1
listen                 1
ll                     3
longitude              2
look                   2
looked                 2
m                      1
made                   1
make                   1
making                 1
managed                1
many                   1
maps                   1
marmalade              1
matter                 1
me                     5
mice                   1
might                  1
miles                  2
milk                   1
mind                   2
miss                   1
moment                 2
mouse                  1
much                   3
must                   1
my                     1
natural                1
near                   1
never                  3
next                   1
nice                   1
night                  1
no                     4
nor                    1
not                    3
nothing                4
noticed                1
now                    1
occurred               1
of                    20
off                    3
oh                     2
on                     4
once                   2
one                    3
opportunity            1
or                     7
orange                 1
ought                  1
out                    5
over                   3
own                    1
passed                 1
past                   1
peeped                 1
pegs                   1
picking                1
pictures               3
pink                   1
pleasure               1
plenty                 1
pocket                 2
pop                    1
practice               1
put                    2
question               1
quite                  1
rabbit                 6
ran                    2
rather                 1
reading                1
remarkable             1
remember               1
right                  1
s                      2
said                   1
saucer                 1
saw                    1
say                    4
saying                 2
schoolroom             1
see                    5
seemed                 1
seen                   1
several                1
shall                  2
she                   27
shelves                2
should                 1
showing                1
sides                  1
sister                 2
sitting                1
sleepy                 2
slowly                 1
so                     6
some                   1
somebody               1
sometimes              1
somewhere              1
soon                   1
sort                   2
stairs                 1
started                1
sticks                 1
still                  1
stopping               1
straight               1
stupid                 1
such                   1
suddenly               4
t                      3
take                   1
talking                1
tea                    1
tell                   1
that                  10
the                   32
then                   4
there                  5
they                   4
things                 1
think                  6
this                   5
though                 1
thought                4
thousand               1
thump                  2
time                   5
tired                  1
to                    33
too                    1
took                   2
top                    1
tried                  1
trouble                1
true                   1
truth                  1
tumbling               1
tunnel                 1
twice                  1
under                  1
up                     1
upon                   2
use                    1
ve                     2
very                  12
waistcoat              2
walking                1
was                   22
watch                  2
way                    4
well                   5
went                   4
were                   3
what                   5
when                   4
whether                1
which                  2
white                  1
why                    1
wish                   1
with                   6
without                1
wonder                 4
wondered               1
words                  1
world                  1
worth                  1
would                  3
wouldn                 1
yes                    1
you                    6
